In,Out,SN,Time,TimeZone,_RoomId,__v,_id
0,1,FB8A8E16,2018-04-09T18:10:14.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc1d095ddf69000ed1b3e7
1,0,FB8A8E16,2018-04-09T18:11:23.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc1d545ddf69000ed1b3e8
0,1,FB8A8E16,2018-04-09T18:12:20.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc1d875ddf69000ed1b3ea
1,0,FB8A8E16,2018-04-09T18:13:57.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc1de95ddf69000ed1b3eb
1,0,FB8A8E16,2018-04-09T18:17:11.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc1eaa5ddf69000ed1b3ec
1,0,FB8A8E16,2018-04-09T18:17:13.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc1ead5ddf69000ed1b3ee
0,1,FB8A8E16,2018-04-09T18:17:27.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc1eba5ddf69000ed1b3ef
1,0,FB8A8E16,2018-04-09T18:23:34.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc20295ddf69000ed1b3f0
0,1,FB8A8E16,2018-04-09T18:27:13.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc21045ddf69000ed1b3f1
0,1,FB8A8E16,2018-04-09T18:29:47.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc21a55ddf69000ed1b3f2
1,0,FB8A8E16,2018-04-09T18:30:05.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc21af5ddf69000ed1b3f3
1,0,FB8A8E16,2018-04-09T18:30:29.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc21c95ddf69000ed1b3f4
0,1,FB8A8E16,2018-04-09T18:33:36.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc22855ddf69000ed1b3f5
1,0,FB8A8E16,2018-04-09T18:34:59.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc22d95ddf69000ed1b3f7
0,1,FB8A8E16,2018-04-09T18:35:48.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc230a5ddf69000ed1b3f8
0,1,FB8A8E16,2018-04-09T18:36:41.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc233e5ddf69000ed1b3f9
1,0,FB8A8E16,2018-04-09T18:44:37.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc251a5ddf69000ed1b3fc
0,1,FB8A8E16,2018-04-09T18:47:11.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc25b35ddf69000ed1b3fd
1,0,FB8A8E16,2018-04-09T18:48:21.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc25f95ddf69000ed1b3fe
1,0,FB8A8E16,2018-04-09T18:49:10.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc262a5ddf69000ed1b400
1,0,FB8A8E16,2018-04-09T18:49:12.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc262c5ddf69000ed1b401
1,0,FB8A8E16,2018-04-09T18:50:05.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc26685ddf69000ed1b402
0,1,FB8A8E16,2018-04-09T18:52:43.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc27005ddf69000ed1b403
1,0,FB8A8E16,2018-04-09T18:53:12.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc271c5ddf69000ed1b404
1,0,FB8A8E16,2018-04-09T19:01:05.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc28f55ddf69000ed1b405
0,1,FB8A8E16,2018-04-09T19:03:51.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc299c5ddf69000ed1b406
1,0,FB8A8E16,2018-04-09T19:05:25.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc29fa5ddf69000ed1b408
0,1,FB8A8E16,2018-04-09T19:06:21.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc2a325ddf69000ed1b40a
1,0,FB8A8E16,2018-04-09T19:07:48.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc2a895ddf69000ed1b40b
1,0,FB8A8E16,2018-04-09T19:10:56.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc2b465ddf69000ed1b40c
0,1,FB8A8E16,2018-04-09T19:13:04.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc2bc45ddf69000ed1b40d
1,0,FB8A8E16,2018-04-09T19:16:27.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc2c8f5ddf69000ed1b40e
1,0,FB8A8E16,2018-04-09T19:16:28.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc2c905ddf69000ed1b40f
0,1,FB8A8E16,2018-04-09T19:16:53.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc2caa5ddf69000ed1b410
0,1,FB8A8E16,2018-04-09T19:18:06.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc2cf15ddf69000ed1b411
0,1,FB8A8E16,2018-04-09T19:18:25.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc2d055ddf69000ed1b412
0,1,FB8A8E16,2018-04-09T19:18:26.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc2d055ddf69000ed1b413
1,0,FB8A8E16,2018-04-09T19:20:36.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc2d8e5ddf69000ed1b414
1,0,FB8A8E16,2018-04-09T19:23:12.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc2e235ddf69000ed1b415
